code_ins,nom_officiel_rn,nom_unique_etnic,date_debut
82038,SAINTE-ODE,Sainte-Ode,1/04/2014
83012,DURBUY,Durbuy,1/04/2014
83013,EREZEE,Erezée,1/04/2014
83028,HOTTON,Hotton,1/04/2014
83031,LA ROCHE-EN-ARDENNE,La Roche-en-Ardenne,1/04/2014
83034,MARCHE-EN-FAMENNE,Marche-en-Famenne,1/04/2014
83040,NASSOGNE,Nassogne,1/04/2014
83044,RENDEUX,Rendeux,1/04/2014
83049,TENNEVILLE,Tenneville,1/04/2014
83055,MANHAY,Manhay,1/04/2014
84009,BERTRIX,Bertrix,1/04/2014
84010,BOUILLON,Bouillon,1/04/2014
84016,DAVERDISSE,Daverdisse,1/04/2014
84029,HERBEUMONT,Herbeumont,1/04/2014
84033,LEGLISE,Léglise,1/04/2014
84035,LIBIN,Libin,1/04/2014
84043,NEUFCHATEAU,Neufchâteau (LUXEMBOURG),1/04/2014
84050,PALISEUL,Paliseul,1/04/2014
84059,SAINT-HUBERT,Saint-Hubert,1/04/2014
84068,TELLIN,Tellin,1/04/2014
84075,WELLIN,Wellin,1/04/2014
84077,LIBRAMONT-CHEVIGNY,Libramont-Chevigny,1/04/2014
85007,CHINY,Chiny,1/04/2014
85009,ETALLE,Etalle,1/04/2014
85011,FLORENVILLE,Florenville,1/04/2014
85024,MEIX-DEVANT-VIRTON,Meix-devant-Virton,1/04/2014
85026,MUSSON,Musson,1/04/2014
85034,SAINT-LEGER,Saint-Léger (LUXEMBOURG),1/04/2014
85039,TINTIGNY,Tintigny,1/04/2014
85045,VIRTON,Virton,1/04/2014
85046,HABAY,Habay,1/04/2014
85047,ROUVROY,Rouvroy,1/04/2014
91005,ANHEE,Anhée,1/04/2014
91013,BEAURAING,Beauraing,1/04/2014
91015,BIEVRE,Bièvre,1/04/2014
91030,CINEY,Ciney,1/04/2014
91034,DINANT,Dinant,1/04/2014
91054,GEDINNE,Gedinne,1/04/2014
91059,HAMOIS,Hamois,1/04/2014
91064,HAVELANGE,Havelange,1/04/2014
91072,HOUYET,Houyet,1/04/2014
91103,ONHAYE,Onhaye,1/04/2014
91114,ROCHEFORT,Rochefort,1/04/2014
91120,SOMME-LEUZE,Somme-Leuze,1/04/2014
91141,YVOIR,Yvoir,1/04/2014
91142,HASTIERE,Hastière,1/04/2014
91143,VRESSE-SUR-SEMOIS,Vresse-sur-Semois,1/04/2014
92003,ANDENNE,Andenne,1/04/2014
92006,ASSESSE,Assesse,1/04/2014
92035,EGHEZEE,Eghezée,1/04/2014
92045,FLOREFFE,Floreffe,1/04/2014
92048,FOSSES-LA-VILLE,Fosses-la-Ville,1/04/2014
92054,GESVES,Gesves,1/04/2014
92087,METTET,Mettet,1/04/2014
92094,NAMUR,Namur,1/04/2014
92097,OHEY,Ohey,1/04/2014
92101,PROFONDEVILLE,Profondeville,1/04/2014
92114,SOMBREFFE,Sombreffe,1/04/2014
92137,SAMBREVILLE,Sambreville,1/04/2014
92138,FERNELMONT,Fernelmont,1/04/2014
92140,JEMEPPE-SUR-SAMBRE,Jemeppe-sur-Sambre,1/04/2014
92141,LA BRUYERE,La Bruyère,1/04/2014
92142,GEMBLOUX,Gembloux,1/04/2014
93010,CERFONTAINE,Cerfontaine,1/04/2014
93014,COUVIN,Couvin,1/04/2014
93018,DOISCHE,Doische,1/04/2014
93022,FLORENNES,Florennes,1/04/2014
93056,PHILIPPEVILLE,Philippeville,1/04/2014
93088,WALCOURT,Walcourt,1/04/2014
93090,VIROINVAL,Viroinval,1/04/2014
