code_ins,nom_officiel_rn,nom_unique_etnic,date_debut
37002,DENTERGEM,Dentergem,1/04/2014
37007,MEULEBEKE,Meulebeke,1/04/2014
37010,OOSTROZEBEKE,Oostrozebeke,1/04/2014
37011,PITTEM,Pittem,1/04/2014
37012,RUISELEDE,Ruiselede,1/04/2014
37015,TIELT,Tielt (WEST-VLAANDEREN),1/04/2014
37017,WIELSBEKE,Wielsbeke,1/04/2014
37018,WINGENE,Wingene,1/04/2014
37020,ARDOOIE,Ardooie,1/04/2014
38002,ALVERINGEM,Alveringem,1/04/2014
38008,DE PANNE,De Panne,1/04/2014
38014,KOKSIJDE,Koksijde,1/04/2014
38016,NIEUWPOORT,Nieuwpoort,1/04/2014
38025,VEURNE,Veurne,1/04/2014
41002,AALST,Aalst (OOST-VLAANDEREN),1/04/2014
41011,DENDERLEEUW,Denderleeuw,1/04/2014
41018,GERAARDSBERGEN,Geraardsbergen,1/04/2014
41024,HAALTERT,Haaltert,1/04/2014
41027,HERZELE,Herzele,1/04/2014
41034,LEDE,Lede,1/04/2014
41048,NINOVE,Ninove,1/04/2014
41063,SINT-LIEVENS-HOUTEM,Sint-Lievens-Houtem,1/04/2014
41081,ZOTTEGEM,Zottegem,1/04/2014
41082,ERPE-MERE,Erpe-Mere,1/04/2014
42003,BERLARE,Berlare,1/04/2014
42004,BUGGENHOUT,Buggenhout,1/04/2014
42006,DENDERMONDE,Dendermonde,1/04/2014
42008,HAMME,Hamme (OOST-VLAANDEREN),1/04/2014
42010,LAARNE,Laarne,1/04/2014
42011,LEBBEKE,Lebbeke,1/04/2014
42023,WAASMUNSTER,Waasmunster,1/04/2014
42025,WETTEREN,Wetteren,1/04/2014
42026,WICHELEN,Wichelen,1/04/2014
42028,ZELE,Zele,1/04/2014
43002,ASSENEDE,Assenede,1/04/2014
43005,EEKLO,Eeklo,1/04/2014
43007,KAPRIJKE,Kaprijke,1/04/2014
43010,MALDEGEM,Maldegem,1/04/2014
43014,SINT-LAUREINS,Sint-Laureins,1/04/2014
43018,ZELZATE,Zelzate,1/04/2014
44012,DE PINTE,De Pinte,1/04/2014
44013,DESTELBERGEN,Destelbergen,1/04/2014
44019,EVERGEM,Evergem,1/04/2014
44020,GAVERE,Gavere,1/04/2014
44021,GENT,Gent,1/04/2014
44034,LOCHRISTI,Lochristi,1/04/2014
44040,MELLE,Melle,1/04/2014
44043,MERELBEKE,Merelbeke,1/04/2014
44045,MOERBEKE,Moerbeke (GENT),1/04/2014
44048,NAZARETH,Nazareth,1/04/2014
44052,OOSTERZELE,Oosterzele,1/04/2014
44064,SINT-MARTENS-LATEM,Sint-Martens-Latem,1/04/2014
44073,WACHTEBEKE,Wachtebeke,1/04/2014
44081,ZULTE,Zulte,1/04/2014
44083,DEINZE,Deinze,1/01/2019
44084,AALTER,Aalter,1/01/2019
44085,LIEVEGEM,Lievegem,1/01/2019
45035,OUDENAARDE,Oudenaarde,1/04/2014
45041,RENAIX,Renaix,1/04/2014
45059,BRAKEL,Brakel,1/04/2014
45060,KLUISBERGEN,Kluisbergen,1/04/2014
45061,WORTEGEM-PETEGEM,Wortegem-Petegem,1/04/2014
45062,HOREBEKE,Horebeke,1/04/2014
45063,LIERDE,Lierde,1/04/2014
45064,MAARKEDAL,Maarkedal,1/04/2014
45065,ZWALM,Zwalm,1/04/2014
45068,KRUISEM,Kruisem,1/01/2019
46003,BEVEREN,Beveren (SINT-NIKLAAS),1/04/2014
46013,KRUIBEKE,Kruibeke,1/04/2014
46014,LOKEREN,Lokeren,1/04/2014
46020,SINT-GILLIS-WAAS,Sint-Gillis-Waas,1/04/2014
46021,SINT-NIKLAAS,Sint-Niklaas,1/04/2014
46024,STEKENE,Stekene,1/04/2014
46025,TEMSE,Temse,1/04/2014
51004,ATH,Ath,1/04/2014
51008,BELOEIL,Beloeil,1/04/2014
51009,BERNISSART,Bernissart,1/04/2014
51012,BRUGELETTE,Brugelette,1/04/2014
51014,CHIEVRES,Chièvres,1/04/2014
51017,ELLEZELLES,Ellezelles,1/04/2014
51019,FLOBECQ,Flobecq,1/04/2014
51065,FRASNES-LEZ-ANVAING,Frasnes-lez-Anvaing,1/04/2014
51067,ENGHIEN,Enghien,1/01/2019
51068,SILLY,Silly,1/01/2019
51069,LESSINES,Lessines,1/01/2019
52010,CHAPELLE-LEZ-HERLAIMONT,Chapelle-lez-Herlaimont,1/04/2014
52011,CHARLEROI,Charleroi,1/04/2014
52012,CHATELET,Châtelet,1/04/2014
52015,COURCELLES,Courcelles,1/04/2014
52018,FARCIENNES,Farciennes,1/04/2014
52021,FLEURUS,Fleurus,1/04/2014
52022,FONTAINE-L'EVEQUE,Fontaine-l'Evêque,1/04/2014
52025,GERPINNES,Gerpinnes,1/04/2014
52048,MONTIGNY-LE-TILLEUL,Montigny-le-Tilleul,1/04/2014
52055,PONT-A-CELLES,Pont-à-Celles,1/04/2014
52074,AISEAU-PRESLES,Aiseau-Presles,1/04/2014
52075,LES BONS VILLERS,Les Bons Villers,1/04/2014
52501,CHARLEROI D1 (CHARLEROI-DAMPREMY),Charleroi D1 (Charleroi-Dampremy),1/04/2014
52502,CHARLEROI D2 (GILLY-LODELINSART),Charleroi D2 (Gilly-Lodelinsart),1/04/2014
52503,CHARLEROI D3 (GOSSELIES-RANSART),Charleroi D3 (Gosselies-Ransart),1/04/2014
52504,CHARLEROI D4 (MONTIGNIES-SUR-SAMBRE-COUILLET),Charleroi D4 (Montignies-sur-Sambre-Couillet),1/04/2014
52505,CHARLEROI D5 (JUMET-ROUX),Charleroi D5 (Jumet-Roux),1/04/2014
52506,CHARLEROI D6 (MARCINELLE-MONT-SUR-MARCHIENNE),Charleroi D6 (Marcinelle-Mont-sur-Marchienne),1/04/2014
52507,CHARLEROI D7 (MARCHIENNE-AU-PONT),Charleroi D7 (Marchienne-au-Pont),1/04/2014
53014,BOUSSU,Boussu,1/04/2014
53020,DOUR,Dour,1/04/2014
53028,FRAMERIES,Frameries,1/04/2014
53039,HENSIES,Hensies,1/04/2014
53044,JURBISE,Jurbise,1/04/2014
53046,LENS,Lens,1/04/2014
53053,MONS,Mons,1/04/2014
53065,QUAREGNON,Quaregnon,1/04/2014
53068,QUIEVRAIN,Quiévrain,1/04/2014
53070,SAINT-GHISLAIN,Saint-Ghislain,1/04/2014
53082,COLFONTAINE,Colfontaine,1/04/2014
53083,HONNELLES,Honnelles,1/04/2014
53084,QUEVY,Quévy,1/04/2014
55004,BRAINE-LE-COMTE,Braine-le-Comte,1/04/2014
55035,LE ROEULX,Le Roeulx,1/04/2014
55040,SOIGNIES,Soignies,1/04/2014
55050,ECAUSSINNES,Ecaussinnes,1/04/2014
55085,SENEFFE,Seneffe,1/01/2019
55086,MANAGE,Manage,1/01/2019
56001,ANDERLUES,Anderlues,1/04/2014
56005,BEAUMONT,Beaumont,1/04/2014
56016,CHIMAY,Chimay,1/04/2014
56022,ERQUELINNES,Erquelinnes,1/04/2014
56029,FROIDCHAPELLE,Froidchapelle,1/04/2014
56044,LOBBES,Lobbes,1/04/2014
56049,MERBES-LE-CHATEAU,Merbes-le-Château,1/04/2014
56051,MOMIGNIES,Momignies,1/04/2014
56078,THUIN,Thuin,1/04/2014
56086,HAM-SUR-HEURE-NALINNES,Ham-sur-Heure-Nalinnes,1/04/2014
56088,SIVRY-RANCE,Sivry-Rance,1/04/2014
57003,ANTOING,Antoing,1/04/2014
57018,CELLES,Celles (HAINAUT),1/04/2014
57027,ESTAIMPUIS,Estaimpuis,1/04/2014
57062,PECQ,Pecq,1/04/2014
