code_ins,date_debut,date_fin,nom_officiel_rn,nom_unique_etnic,actif
13045,1/01/1830,31/12/1976,VORST,Vorst,N
13046,1/01/0001,31/03/2014,VOSSELAAR,Vosselaar,N
13046,1/04/2014,,VOSSELAAR,Vosselaar,O
13047,1/01/1830,31/12/1976,WECHELDERZANDE,Wechelderzande,N
13048,1/01/1830,31/12/1976,WEELDE,Weelde,N
13049,1/01/0001,31/03/2014,WESTERLO,Westerlo,N
13049,1/04/2014,,WESTERLO,Westerlo,O
13050,1/01/1830,31/12/1976,WESTMEERBEEK,Westmeerbeek,N
13051,1/01/1830,31/12/1976,WORTEL,Wortel,N
13052,1/01/1830,31/12/1970,ZOERLE-PARWIJS,Zoerle-Parwijs,N
13053,1/01/0001,31/03/2014,LAAKDAL,Laakdal,N
13053,1/04/2014,,LAAKDAL,Laakdal,O
21001,1/01/0001,,ANDERLECHT,Anderlecht,O
21002,1/01/0001,,AUDERGHEM,Auderghem,O
21003,1/01/0001,,BERCHEM-SAINTE-AGATHE,Berchem-Sainte-Agathe,O
21004,1/01/0001,,BRUXELLES,Bruxelles,O
21005,1/01/0001,,ETTERBEEK,Etterbeek,O
21006,1/01/0001,,EVERE,Evere,O
21007,1/01/0001,,FOREST,Forest (BRUXELLES),O
21008,1/01/0001,,GANSHOREN,Ganshoren,O
21009,1/01/0001,,IXELLES,Ixelles,O
21010,1/01/0001,,JETTE,Jette,O
21011,1/01/0001,,KOEKELBERG,Koekelberg,O
21012,1/01/0001,,MOLENBEEK-SAINT-JEAN,Molenbeek-Saint-Jean,O
21013,1/01/0001,,SAINT-GILLES,Saint-Gilles,O
21014,1/01/0001,,SAINT-JOSSE-TEN-NOODE,Saint-Josse-ten-Noode,O
21015,1/01/0001,,SCHAERBEEK,Schaerbeek,O
21016,1/01/0001,,UCCLE,Uccle,O
21017,1/01/0001,,WATERMAEL-BOITSFORT,Watermael-Boitsfort,O
21018,1/01/0001,,WOLUWE-SAINT-LAMBERT,Woluwe-Saint-Lambert,O
21019,1/01/0001,,WOLUWE-SAINT-PIERRE,Woluwe-Saint-Pierre,O
21204,1/01/0001,,BRUXELLES (DISTRICT 2),Bruxelles (district 2),O
23001,1/01/1830,31/12/1976,ALSEMBERG,Alsemberg,N
23002,1/01/0001,,ASSE,Asse,O
23003,1/01/0001,,BEERSEL,Beersel,O
23004,1/01/1830,31/12/1976,BEERT,Beert,N
23005,1/01/1830,31/12/1976,BEIGEM,Beigem,N
23006,1/01/1830,31/12/1976,BEKKERZEEL,Bekkerzeel,N
23007,1/01/1830,31/12/1976,BELLINGEN,Bellingen,N
23008,1/01/1830,31/12/1976,BERG,Berg (VLAAMS-BRABANT),N
23009,1/01/0001,,BIEVENE,Biévène,O
23010,1/01/1830,31/12/1976,BOGAARDEN,Bogaarden,N
23011,1/01/1830,31/12/1976,BORCHTLOMBEEK,Borchtlombeek,N
23012,1/01/1830,31/12/1976,BRUSSEGEM,Brussegem,N
23013,1/01/1830,31/12/1976,BUIZINGEN,Buizingen,N
23014,1/01/1830,31/12/1976,BUKEN,Buken,N
23015,1/01/1830,31/12/1976,DIEGEM,Diegem,N
23016,1/01/0001,,DILBEEK,Dilbeek,O
23017,1/01/1830,31/12/1976,DWORP,Dworp,N
23018,1/01/1830,31/12/1976,ELEWIJT,Elewijt,N
23019,1/01/1830,31/12/1976,ELINGEN,Elingen,N
23020,1/01/1830,31/12/1976,EPPEGEM,Eppegem,N
23021,1/01/1830,31/12/1976,ESSENE,Essene,N
23022,1/01/1830,31/12/1976,GAASBEEK,Gaasbeek,N
23023,1/01/0001,,GALMAARDEN,Galmaarden,O
23024,1/01/0001,,GOOIK,Gooik,O
23025,1/01/0001,,GRIMBERGEN,Grimbergen,O
23026,1/01/1830,31/12/1976,GROOT-BIJGAARDEN,Groot-Bijgaarden,N
23027,1/01/0001,,HALLE,Halle (VLAAMS-BRABANT),O
23028,1/01/1830,31/12/1976,HAMME,Hamme (VLAAMS-BRABANT),N
23029,1/01/1830,31/12/1976,HEIKRUIS,Heikruis,N
23030,1/01/1830,31/12/1980,HEKELGEM,Hekelgem,N
23031,1/01/1830,31/12/1976,HERFELINGEN,Herfelingen,N
23032,1/01/0001,,HERNE,Herne,O
23033,1/01/0001,,HOEILAART,Hoeilaart,O
23034,1/01/1870,31/12/1976,HOFSTADE,Hofstade (VLAAMS-BRABANT),N
23035,1/01/1830,31/12/1976,HUIZINGEN,Huizingen,N
23036,1/01/1830,31/12/1976,HUMBEEK,Humbeek,N
23037,1/01/1830,31/12/1976,ITTERBEEK,Itterbeek,N
23038,1/01/0001,,KAMPENHOUT,Kampenhout,O
23039,1/01/0001,,KAPELLE-OP-DEN-BOS,Kapelle-op-den-Bos,O
23040,1/01/1830,31/12/1976,KESTER,Kester,N
23041,1/01/1830,31/12/1976,KOBBEGEM,Kobbegem,N
23042,1/01/1830,31/12/1976,LEERBEEK,Leerbeek,N
23043,1/01/1830,31/12/1976,LEMBEEK,Lembeek,N
23044,1/01/0001,,LIEDEKERKE,Liedekerke,O
23045,1/01/0001,,LONDERZEEL,Londerzeel,O
23046,1/01/1928,31/12/1976,LOT,Lot,N
23047,1/01/0001,,MACHELEN,Machelen (VLAAMS-BRABANT),O
23048,1/01/1830,31/12/1976,MALDEREN,Malderen,N
23049,1/01/1830,31/12/1976,MAZENZELE,Mazenzele,N
23050,1/01/0001,,MEISE,Meise,O
23051,1/01/1830,31/12/1976,MELSBROEK,Melsbroek,N
23052,1/01/0001,,MERCHTEM,Merchtem,O
23053,1/01/1830,31/12/1976,MOLLEM,Mollem,N
23054,1/01/1830,31/12/1976,MUIZEN,Muizen (VLAAMS-BRABANT),N
23055,1/01/1830,31/12/1976,NEDEROKKERZEEL,Nederokkerzeel,N
23056,1/01/1874,31/12/1976,NIEUWENRODE,Nieuwenrode,N
23057,1/01/1830,31/12/1976,NOSSEGEM,Nossegem,N
23058,1/01/1830,31/12/1976,OETINGEN,Oetingen,N
